 310 
PlaceId,Name,Subdivision,Country,Lat,Long,Tags
285,Newark,NJ,US,40.74,-74.17,
286,Fargo,ND,US,46.88,-96.79,
287,Smithfield,RI,US,41.92,-71.55,
288,Grand Forks,ND,US,47.93,-97.03,
289,Conway,AR,US,35.09,-92.44,
290,Greeley,CO,US,40.42,-104.71,
291,Bakersfield,CA,US,35.37,-119.02,
292,Edwardsville,IL,US,38.81,-89.95,
293,Brookings,SD,US,44.31,-96.8,
294,Phoenix,AZ,US,33.4484,-112.074,domestic
295,Oklahoma City,OK,US,35.4676,-97.5164,domestic
296,Anaheim,CA,US,33.8353,-117.9145,domestic
297,Brooklyn,NY,US,40.6828,-73.9758,domestic
298,Grand Rapids,MI,US,42.9634,-85.6681,domestic
299,Virginia Beach,VA,US,36.8529,-75.978,domestic
300,Hartford,CT,US,41.7637,-72.6851,domestic
301,Uncasville,CT,US,41.439,-72.0904,domestic
302,Sioux Falls,SD,US,43.546,-96.7313,domestic
303,Lahaina,HI,US,20.8783,-156.6825,exotic
304,Nassau,,BS,25.0782,-77.3383,exotic
305,Cancún,,MX,21.1619,-86.8515,exotic
306,George Town,,KY,19.2869,-81.3674,exotic
307,Charlotte Amalie,,VI,18.3419,-64.9307,exotic
308,Montego Bay,,JM,18.4762,-77.8939,exotic
309,San Juan,,PR,18.4655,-66.1057,exotic
310,Anchorage,AK,US,61.2181,-149.9003,exotic
